"incident_number","arrest_date","gender","race","age","charge","most_serious"
"12BU000021",2012-01-01 02:23:00,NA,NA,NA,"Simple Assault 13 VSA 1023 13B",1
"12BU000029",2012-01-01 04:01:00,"Male - M","White - W",26,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"12BU000031",2012-01-01 04:30:00,"Male - M","White - W",54,"Domestic Assault 13 VSA 1042 13B",1
"12BU000039",2012-03-14 11:10:00,"Female - F","White - W",39,"False Pretenses 13 VSA 2002 26A",1
"12BU000039",2012-03-14 11:10:00,"Female - F","White - W",39,"Identity Theft 13 VSA 2030 26F",0
"12BU000049",2012-01-01 13:10:00,NA,NA,NA,"Simple Assault 13 VSA 1023 13B",1
"12BU000050",2012-01-01 12:45:00,"Male - M","White - W",26,"Grand Larceny 13 VSA 2501 23H",1
"12BU000050",2012-01-01 12:45:00,"Male - M","White - W",26,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"12BU000050",2012-01-01 12:45:00,"Male - M","White - W",26,"Petit Larceny From A Motor Vehicle 13 VSA 2502 23F",0
"12BU000069",2012-01-01 17:18:00,"Male - M","White - W",31,"Drugs - Cocaine, Possession  >2.5 Gm 18 VSA 4231(A)(1) 35A",1
"12BU000069",2012-01-01 17:18:00,"Male - M","White - W",31,"Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A",NA
"12BU000069",2012-01-01 20:55:00,"Female - F","White - W",25,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor 18 VSA 4230(A)(1) 35A",1
"12BU000069",2012-01-01 20:55:00,"Female - F","White - W",25,"Drugs - Cocaine, Possession  >2.5 Gm 18 VSA 4231(A)(1) 35A",NA
"12BU000090",2012-01-01 23:43:00,"Male - M","Black - B",19,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"12BU000154",2012-01-02 13:10:00,"Male - M","White - W",26,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"12BU000159",2012-01-02 16:30:00,"Female - F","Black - B",32,NA,1
"12BU000159",2012-01-02 16:30:00,"Female - F","Black - B",32,NA,0
